Location,Number of Records,Power output (MW),Wind Speed (m/s),Windmill
B,1,23.48372917,12.47173611,a337
B,1,24.23554167,12.48020833,a339
B,1,15.50539583,12.75222222,a341
B,1,23.3161875,13.04909722,a343
B,1,25.7523125,13.23861111,a345
B,1,26.5828125,13.763125,a347
B,1,27.69941667,13.88993056,a349
B,1,26.67614583,14.155625,a351
B,1,23.60325,14.29402778,a353
B,1,25.22575,14.37319444,a355
B,1,28.01879167,14.63875,a357
B,1,22.23283333,14.93430556,a359
B,1,27.5020625,15.24763889,a361
B,1,29.00997917,16.34694444,a363
B,1,22.85222917,16.57583333,a364
B,1,29.0209375,18.31638889,a365
B,1,0.462979167,3.120347222,a53
B,1,0.3168125,3.171944444,a55
B,1,1.303041667,3.230138889,a57
B,1,0.448104167,3.280555556,a59
B,1,0.786708333,3.308611111,a61
B,1,0.947354167,3.36125,a63
B,1,1.020479167,3.453611111,a65
B,1,1.445083333,3.474791667,a67
B,1,1.320958333,3.545138889,a69
B,1,1.475520833,3.613888889,a71
B,1,1.01575,3.652916667,a73
B,1,0.712666667,3.667430556,a75
B,1,1.328791667,3.696458333,a77
B,1,1.091875,3.718472222,a79
B,1,1.352541667,3.838958333,a81
B,1,0.675291667,3.8525,a83
B,1,1.4145625,3.987986111,a87
B,1,1.2713125,4.078680556,a89
B,1,1.3531875,4.229375,a91
B,1,2.853791667,4.292430556,a93
B,1,1.638833333,4.394097222,a95
B,1,1.657208333,4.458194444,a97
B,1,2.4241875,4.545763889,a99
C,1,2.378791667,4.610486111,a100
C,1,2.842979167,4.695902778,a102
C,1,3.382604167,4.736180556,a104
C,1,4.583041667,4.810694444,a106
C,1,2.949833333,4.818958333,a108
C,1,3.224895833,4.868333333,a110
C,1,3.798041667,4.938958333,a112
C,1,2.42625,5.121944444,a114
C,1,5.185833333,5.140138889,a116
C,1,5.007041667,5.221180556,a118
C,1,2.4614375,5.284236111,a120
C,1,3.258041667,5.348263889,a122
C,1,3.229375,5.397847222,a124
